aluminium,ammonia,arsenic,cadmium,chloramine,copper,bacteria,viruses,lead,nitrites,perchlorate,radium,selenium,silver,uranium
0.08,8.01,0.31000000000000005,0.08,3.28,0.02,0.97,0.97,0.166,1.35,17.2,3.54,0.05,0.5,0.01
0.08,1.24,0.31000000000000005,0.05,4.09,1.99,0.33,0.001,0.05,1.28,20.73,6.66,0.09,0.16,0.0
0.04,20.37,0.001,0.006,0.23,1.93,0.42,0.006,0.195,1.15,2.16,7.47,0.09,0.49,0.08
0.01,20.83,0.08,0.04,0.03,0.08,0.0,0.7,0.157,0.05,5.25,0.74,0.04,0.01,0.02
0.18,22.74,0.31000000000000005,0.09,3.36,1.57,0.58,0.58,0.071,1.75,34.54,3.32,0.05,0.32,0.06
1.0,5.04,0.31000000000000005,0.04,1.0,1.32,0.0,0.004,0.128,1.59,15.32,5.87,0.05,0.3,0.02
0.01,20.13,0.03,0.04,0.04,0.95,0.0,0.0,0.07,1.47,3.45,1.02,0.07,0.03,0.06
0.09,11.69,0.31000000000000005,0.07,4.7,0.91,0.51,0.51,0.023,1.8,26.38,5.65,0.03,0.31,0.03
0.06,10.98,0.03,0.06,0.06,0.01,0.0,0.006,0.061,0.06,8.43,0.21,0.09,0.01,0.04
0.06,4.82,0.01,0.02,0.42,0.2,0.1,0.005,0.191,0.66,6.6,0.77,0.0,0.04,0.02
0.08,6.32,0.06,0.02,0.22,0.05,0.0,0.99,0.03,0.22,6.83,0.13,0.0,0.02,0.03
1.0,24.34,0.31000000000000005,0.06,2.74,0.13,0.0,0.58,0.035,1.16,18.24,1.63,0.01,0.01,0.06
0.07,0.52,0.01,0.04,0.01,0.77,0.0,0.0,0.059,1.93,0.03,0.91,0.01,0.03,0.03
0.1,0.34,0.01,0.1,0.02,0.7,0.3,0.005,0.065,1.38,2.28,4.52,0.03,0.07,0.03
0.08,2.43,0.03,0.09,0.05,0.79,0.0,0.0,0.106,1.18,1.05,2.46,0.02,0.09,0.07
0.02,24.45,0.07,0.07,0.49,1.83,0.0,0.67,0.089,0.5,0.32,2.8,0.1,0.1,0.07
0.1,0.75,0.03,0.07,0.38,1.13,0.97,0.97,0.007,1.3,3.6,0.72,0.01,0.08,0.08
0.07,19.77,0.05,0.06,0.19,0.04,0.0,0.54,0.081,0.34,4.62,6.13,0.05,0.04,0.06
0.06,28.88,0.04,0.05,0.01,0.08,0.0,0.001,0.059,0.89,0.38,0.15,0.06,0.02,0.08
0.86,18.64,0.04,0.003,5.47,1.97,0.18,0.007,0.169,1.84,38.49,7.12,0.07,0.28,0.01
0.1,21.92,0.01,0.02,0.17,0.79,0.21,0.001,0.08,1.14,8.47,2.17,0.03,0.02,0.01
1.0,17.59,0.31000000000000005,0.06,1.3,0.22,0.0,0.0,0.101,1.36,59.11,1.08,0.04,0.03,0.01
0.1,11.8,0.07,0.03,0.38,0.05,0.0,0.0,0.015,0.74,0.04,3.21,0.01,0.02,0.0
0.02,26.72,0.31000000000000005,0.07,3.55,0.02,0.89,0.89,0.048,2.21,24.32,3.93,0.06,0.41,0.08
1.0,9.0,0.31000000000000005,0.09,0.86,0.67,0.0,0.009,0.107,1.72,32.76,4.73,0.01,0.39,0.07
